matchId,queueId,gameDuration,summonerName,teamId,championName,kills,deaths,assists,kda,totalMinionsKilled,totalDamageTaken,totalDamageDealtToChampions,goldEarned,visionScore,summoner1Id,summoner2Id,firstTowerKill,firstBloodAssist,firstBloodKill,champExperience,doubleKills,tripleKills,quadraKills,pentaKills,win,gameDurationMin,gameStartTime
BR1_3058148175,420,2291,Arthur Lanches,0,Teemo,12,6,11,3.83,252,33628,46584,18597,20,4,14,False,False,False,22854,2,1,0,0,True,38.2,2025-01-25 21:04:29.510
BR1_3058090352,420,1369,Arthur Lanches,0,Teemo,6,2,8,7.0,169,8623,22521,9632,32,4,14,False,False,False,12336,0,0,0,0,True,22.8,2025-01-25 19:26:30.505
BR1_3057074474,420,2035,Arthur Lanches,1,Teemo,11,3,20,10.33,223,31385,39111,17025,26,4,14,False,False,False,22743,1,0,0,0,True,33.9,2025-01-23 22:00:59.608
BR1_3057024071,420,1912,Arthur Lanches,0,Teemo,1,3,9,3.33,222,24804,29172,12837,23,4,14,True,False,False,16679,0,0,0,0,True,31.9,2025-01-23 20:35:38.123
BR1_3056999563,420,1518,Arthur Lanches,1,Teemo,6,1,6,12.0,211,11857,23485,12323,10,4,14,False,False,True,15215,0,0,0,0,True,25.3,2025-01-23 19:50:17.703
BR1_3056990424,420,1562,Arthur Lanches,0,Teemo,2,2,3,2.5,221,16755,28710,10112,13,4,14,False,False,False,12291,0,0,0,0,False,26.0,2025-01-23 19:14:05.320
BR1_3056974803,420,1683,Arthur Lanches,0,Teemo,2,9,6,0.89,184,25255,26191,8969,23,4,14,False,False,False,12513,0,0,0,0,False,28.0,2025-01-23 18:30:48.006
BR1_3056966278,420,912,Arthur Lanches,0,Teemo,1,3,1,0.67,117,8017,10457,5251,14,4,14,False,False,False,7207,0,0,0,0,False,15.2,2025-01-23 17:58:13.584
BR1_3056950629,420,1525,Arthur Lanches,0,Teemo,9,1,7,16.0,176,18915,19692,12732,16,4,14,True,False,False,14574,1,0,0,0,True,25.4,2025-01-23 17:12:11.521
BR1_3056813334,420,1543,Arthur Lanches,1,Teemo,7,2,7,7.0,202,11850,27668,11607,14,4,14,False,False,True,15642,0,0,0,0,True,25.7,2025-01-23 02:40:19.858
BR1_3056679867,420,2450,Arthur Lanches,1,Teemo,9,1,16,25.0,311,24677,54124,19446,19,4,14,False,False,False,24901,1,0,0,0,True,40.8,2025-01-22 22:30:52.895
BR1_3056669509,420,867,Arthur Lanches,1,Teemo,4,0,0,4.0,128,3064,7883,6423,7,4,14,False,False,False,8942,0,0,0,0,True,14.4,2025-01-22 22:07:16.808
BR1_3056643808,420,1463,Arthur Lanches,1,Teemo,1,2,4,2.5,205,16298,20093,9070,18,4,14,False,False,False,12127,0,0,0,0,False,24.4,2025-01-22 21:07:01.042
BR1_3056629754,420,1428,Arthur Lanches,0,Ornn,3,2,11,7.0,148,27214,21521,8766,11,4,12,False,False,False,12195,1,0,0,0,True,23.8,2025-01-22 20:30:27.398
BR1_3056619430,420,1355,Arthur Lanches,1,Teemo,1,3,5,2.0,193,13358,14637,10164,13,4,14,False,False,False,11745,0,0,0,0,True,22.6,2025-01-22 19:55:27.077
BR1_3056603069,420,2567,Arthur Lanches,0,Teemo,11,7,15,3.71,236,40020,72595,16268,24,4,14,False,False,False,19587,1,0,0,0,True,42.8,2025-01-22 19:06:18.786
BR1_3056587555,420,1956,Arthur Lanches,0,Ornn,4,5,8,2.4,203,47015,25207,13098,23,4,12,False,False,False,16238,0,0,0,0,False,32.6,2025-01-22 18:18:17.615
BR1_3056572498,420,2020,Arthur Lanches,1,Teemo,8,3,2,3.33,269,24869,31513,14952,19,4,14,True,False,False,17781,0,0,0,0,False,33.7,2025-01-22 17:28:23.085
BR1_3056562248,420,1495,Arthur Lanches,0,Teemo,5,1,4,9.0,211,8146,18757,10403,11,4,14,False,False,True,15172,0,0,0,0,True,24.9,2025-01-22 16:55:10.471
